Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Stress Index,Temp Diff [K],Temp_Diff_x_Wear,Speed_x_Torque,Machine failure,TWF,HDF,PWF,OSF,RNF,is_anomaly
298.1,308.6,1551,42.8,0,0.0,10.5,0.0,66382.79999999999,0,0,0,0,0,0,0
298.2,308.7,1408,46.3,3,138.89999999999998,10.5,31.5,65190.399999999994,0,0,0,0,0,0,0
298.1,308.5,1498,49.4,5,247.0,10.399999999999977,51.999999999999886,74001.2,0,0,0,0,0,0,0
298.2,308.6,1433,39.5,7,276.5,10.400000000000034,72.80000000000024,56603.5,0,0,0,0,0,0,0
298.2,308.7,1408,40.0,9,360.0,10.5,94.5,56320.0,0,0,0,0,0,0,0
298.1,308.6,1425,41.9,11,460.9,10.5,115.5,59707.5,0,0,0,0,0,0,0
298.1,308.6,1558,42.4,14,593.6,10.5,147.0,66059.2,0,0,0,0,0,0,0
298.1,308.6,1527,40.2,16,643.2,10.5,168.0,61385.4,0,0,0,0,0,0,0
298.3,308.7,1667,28.6,18,514.8000000000001,10.399999999999977,187.1999999999996,47676.200000000004,0,0,0,0,0,0,0
298.5,309.0,1741,28.0,21,588.0,10.5,220.5,48748.0,0,0,0,0,0,0,0
298.4,308.9,1782,23.9,24,573.5999999999999,10.5,252.0,42589.799999999996,0,0,0,0,0,0,0
298.6,309.1,1423,44.3,29,1284.6999999999998,10.5,304.5,63038.899999999994,0,0,0,0,0,0,0
298.6,309.1,1339,51.1,34,1737.4,10.5,357.0,68422.90000000001,0,0,0,0,0,0,0
298.6,309.2,1742,30.0,37,1110.0,10.599999999999966,392.19999999999874,52260.0,0,0,0,0,0,0,0
298.6,309.2,2035,19.6,40,784.0,10.599999999999966,423.99999999999864,39886.0,0,0,0,0,0,0,0
298.6,309.2,1542,48.4,42,2032.8,10.599999999999966,445.19999999999857,74632.8,0,0,0,0,0,0,0
298.6,309.2,1311,46.6,44,2050.4,10.599999999999966,466.3999999999985,61092.6,0,0,0,0,0,0,0
298.7,309.2,1410,45.6,47,2143.2000000000003,10.5,493.5,64296.0,0,0,0,0,0,0,0
298.8,309.2,1306,54.5,50,2725.0,10.399999999999977,519.9999999999989,71177.0,0,0,0,0,0,0,0
298.9,309.3,1632,32.5,55,1787.5,10.400000000000034,572.0000000000018,53040.0,0,0,0,0,0,0,0
298.9,309.3,1375,42.7,58,2476.6000000000004,10.400000000000034,603.200000000002,58712.50000000001,0,0,0,0,0,0,0
298.8,309.3,1450,44.8,63,2822.3999999999996,10.5,661.5,64959.99999999999,0,0,0,0,0,0,0
298.9,309.3,1581,30.7,65,1995.5,10.400000000000034,676.0000000000023,48536.7,0,0,0,0,0,0,0
299.0,309.4,1758,25.7,68,1747.6,10.399999999999977,707.1999999999985,45180.6,0,0,0,0,0,0,0
299.0,309.4,1561,37.3,70,2611.0,10.399999999999977,727.9999999999984,58225.299999999996,0,0,0,0,0,0,0
299.0,309.5,1861,23.3,73,1700.9,10.5,766.5,43361.3,0,0,0,0,0,0,0
299.1,309.5,1512,39.0,75,2925.0,10.399999999999977,779.9999999999983,58968.0,0,0,0,0,0,0,0
299.1,309.4,1811,24.6,77,1894.2,10.299999999999955,793.0999999999965,44550.600000000006,0,0,0,0,0,0,0
299.1,309.4,1439,44.2,82,3624.4,10.299999999999955,844.5999999999963,63603.8,0,0,0,0,0,0,0
299.0,309.4,1693,30.1,84,2528.4,10.399999999999977,873.5999999999981,50959.3,0,0,0,0,0,0,0
299.1,309.5,1339,48.2,86,4145.2,10.399999999999977,894.399999999998,64539.8,0,0,0,0,0,0,0
299.0,309.4,1798,25.5,89,2269.5,10.399999999999977,925.599999999998,45849.0,0,0,0,0,0,0,0
299.0,309.4,1419,48.3,91,4395.3,10.399999999999977,946.3999999999979,68537.7,0,0,0,0,0,0,0
298.9,309.3,1665,32.5,93,3022.5,10.400000000000034,967.2000000000032,54112.5,0,0,0,0,0,0,0
298.8,309.1,1559,34.7,95,3296.5000000000005,10.300000000000011,978.5000000000011,54097.3,0,0,0,0,0,0,0
298.8,309.2,1452,48.6,98,4762.8,10.399999999999977,1019.1999999999978,70567.2,0,0,0,0,0,0,0
298.9,309.2,1581,36.7,101,3706.7000000000003,10.300000000000011,1040.300000000001,58022.700000000004,0,0,0,0,0,0,0
298.8,309.1,1439,39.2,104,4076.8,10.300000000000011,1071.2000000000012,56408.8,0,0,0,0,0,0,0
298.9,309.2,1379,50.7,106,5374.200000000001,10.300000000000011,1091.800000000001,69915.3,0,0,0,0,0,0,0
298.8,309.1,1350,52.5,111,5827.5,10.300000000000011,1143.3000000000013,70875.0,0,0,0,0,0,0,0
298.8,309.1,1362,45.4,113,5130.2,10.300000000000011,1163.9000000000012,61834.799999999996,0,0,0,0,0,0,0
298.8,309.1,1368,50.8,115,5842.0,10.300000000000011,1184.5000000000014,69494.4,0,0,0,0,0,0,0
298.8,309.1,1368,49.1,117,5744.7,10.300000000000011,1205.1000000000013,67168.8,0,0,0,0,0,0,0
298.8,309.2,1372,48.5,120,5820.0,10.399999999999977,1247.9999999999973,66542.0,0,0,0,0,0,0,0
298.8,309.1,1472,47.5,125,5937.5,10.300000000000011,1287.5000000000014,69920.0,0,0,0,0,0,0,0
298.8,309.1,1489,49.1,128,6284.8,10.300000000000011,1318.4000000000015,73109.90000000001,0,0,0,0,0,0,0
298.7,309.0,1843,25.8,130,3354.0,10.300000000000011,1339.0000000000014,47549.4,0,0,0,0,0,0,0
298.8,309.1,1418,46.3,133,6157.9,10.300000000000011,1369.9000000000015,65653.4,0,0,0,0,0,0,0
298.8,309.2,1425,53.9,135,7276.5,10.399999999999977,1403.9999999999968,76807.5,0,0,0,0,0,0,0
298.9,309.2,1412,44.1,140,6174.0,10.300000000000011,1442.0000000000016,62269.200000000004,0,0,0,0,0,0,0
